"categoria","N","prop","dep_adm1","prov_adm2","dist_adm3"
"De 80 a 84 ",37,0.00930115635997989,"amazonas","chachapoyas","la jalca"
"De 85 a 89 ",19,0.00477626948215184,"amazonas","chachapoyas","la jalca"
"De 90 a 94 ",4,0.00100553041729512,"amazonas","chachapoyas","la jalca"
"De 95 a más",2,0.000502765208647562,"amazonas","chachapoyas","la jalca"
"De 0  a 4 ",284,0.0784530386740332,"amazonas","chachapoyas","leimebamba"
"De 5  a 9 ",369,0.101933701657459,"amazonas","chachapoyas","leimebamba"
"De 10 a 14 ",410,0.113259668508287,"amazonas","chachapoyas","leimebamba"
"De 15 a 19 ",337,0.0930939226519337,"amazonas","chachapoyas","leimebamba"
"De 20 a 24 ",180,0.0497237569060773,"amazonas","chachapoyas","leimebamba"
"De 25 a 29 ",220,0.0607734806629834,"amazonas","chachapoyas","leimebamba"
"De 30 a 34 ",236,0.0651933701657459,"amazonas","chachapoyas","leimebamba"
"De 35 a 39 ",265,0.0732044198895028,"amazonas","chachapoyas","leimebamba"
"De 40 a 44 ",212,0.0585635359116022,"amazonas","chachapoyas","leimebamba"
"De 45 a 49 ",223,0.0616022099447514,"amazonas","chachapoyas","leimebamba"
"De 50 a 54 ",183,0.0505524861878453,"amazonas","chachapoyas","leimebamba"
"De 55 a 59 ",157,0.0433701657458564,"amazonas","chachapoyas","leimebamba"
"De 60 a 64 ",155,0.0428176795580111,"amazonas","chachapoyas","leimebamba"
"De 65 a 69 ",121,0.0334254143646409,"amazonas","chachapoyas","leimebamba"
"De 70 a 74 ",102,0.0281767955801105,"amazonas","chachapoyas","leimebamba"
"De 75 a 79 ",72,0.0198895027624309,"amazonas","chachapoyas","leimebamba"
"De 80 a 84 ",48,0.0132596685082873,"amazonas","chachapoyas","leimebamba"
"De 85 a 89 ",29,0.00801104972375691,"amazonas","chachapoyas","leimebamba"
"De 90 a 94 ",15,0.00414364640883978,"amazonas","chachapoyas","leimebamba"
"De 95 a más",2,0.000552486187845304,"amazonas","chachapoyas","leimebamba"
"De 0  a 4 ",72,0.0906801007556675,"amazonas","chachapoyas","levanto"
"De 5  a 9 ",83,0.104534005037783,"amazonas","chachapoyas","levanto"
"De 10 a 14 ",90,0.113350125944584,"amazonas","chachapoyas","levanto"
"De 15 a 19 ",60,0.0755667506297229,"amazonas","chachapoyas","levanto"
"De 20 a 24 ",39,0.0491183879093199,"amazonas","chachapoyas","levanto"
"De 25 a 29 ",46,0.0579345088161209,"amazonas","chachapoyas","levanto"
"De 30 a 34 ",61,0.0768261964735516,"amazonas","chachapoyas","levanto"
"De 35 a 39 ",65,0.0818639798488665,"amazonas","chachapoyas","levanto"
"De 40 a 44 ",50,0.0629722921914358,"amazonas","chachapoyas","levanto"
"De 45 a 49 ",45,0.0566750629722922,"amazonas","chachapoyas","levanto"
"De 50 a 54 ",36,0.0453400503778337,"amazonas","chachapoyas","levanto"
"De 55 a 59 ",32,0.0403022670025189,"amazonas","chachapoyas","levanto"
"De 60 a 64 ",31,0.0390428211586902,"amazonas","chachapoyas","levanto"
"De 65 a 69 ",17,0.0214105793450882,"amazonas","chachapoyas","levanto"
"De 70 a 74 ",19,0.0239294710327456,"amazonas","chachapoyas","levanto"
"De 75 a 79 ",19,0.0239294710327456,"amazonas","chachapoyas","levanto"
"De 80 a 84 ",17,0.0214105793450882,"amazonas","chachapoyas","levanto"
"De 85 a 89 ",8,0.0100755667506297,"amazonas","chachapoyas","levanto"
"De 90 a 94 ",4,0.00503778337531486,"amazonas","chachapoyas","levanto"
"De 0  a 4 ",79,0.0927230046948357,"amazonas","chachapoyas","magdalena"
"De 5  a 9 ",75,0.0880281690140845,"amazonas","chachapoyas","magdalena"
"De 10 a 14 ",93,0.109154929577465,"amazonas","chachapoyas","magdalena"
"De 15 a 19 ",63,0.073943661971831,"amazonas","chachapoyas","magdalena"
"De 20 a 24 ",44,0.0516431924882629,"amazonas","chachapoyas","magdalena"
"De 25 a 29 ",69,0.0809859154929577,"amazonas","chachapoyas","magdalena"
"De 30 a 34 ",49,0.0575117370892019,"amazonas","chachapoyas","magdalena"
"De 35 a 39 ",41,0.0481220657276995,"amazonas","chachapoyas","magdalena"
"De 40 a 44 ",49,0.0575117370892019,"amazonas","chachapoyas","magdalena"
"De 45 a 49 ",51,0.0598591549295775,"amazonas","chachapoyas","magdalena"
"De 50 a 54 ",53,0.062206572769953,"amazonas","chachapoyas","magdalena"
"De 55 a 59 ",31,0.0363849765258216,"amazonas","chachapoyas","magdalena"
"De 60 a 64 ",38,0.0446009389671361,"amazonas","chachapoyas","magdalena"
"De 65 a 69 ",25,0.0293427230046948,"amazonas","chachapoyas","magdalena"
"De 70 a 74 ",24,0.028169014084507,"amazonas","chachapoyas","magdalena"
"De 75 a 79 ",23,0.0269953051643193,"amazonas","chachapoyas","magdalena"
"De 80 a 84 ",32,0.0375586854460094,"amazonas","chachapoyas","magdalena"
"De 85 a 89 ",10,0.0117370892018779,"amazonas","chachapoyas","magdalena"
"De 90 a 94 ",2,0.00234741784037559,"amazonas","chachapoyas","magdalena"
"De 95 a más",1,0.00117370892018779,"amazonas","chachapoyas","magdalena"
"De 0  a 4 ",113,0.0826627651792246,"amazonas","chachapoyas","mariscal castilla"
"De 5  a 9 ",132,0.0965618141916606,"amazonas","chachapoyas","mariscal castilla"
"De 10 a 14 ",141,0.103145574250183,"amazonas","chachapoyas","mariscal castilla"
"De 15 a 19 ",100,0.0731528895391368,"amazonas","chachapoyas","mariscal castilla"
"De 20 a 24 ",72,0.0526700804681785,"amazonas","chachapoyas","mariscal castilla"
